"judul","kategori","label"
"Pemerintah uji coba sistem digitalisasi arsip desa","Pemerintahan","Positif"
"Kemitraan bisnis lokal perkuat ekonomi pasca-pandemi","Bisnis","Positif"
"Robot edukatif bantu anak belajar logika pemrograman","Robotika","Positif"
"Komunitas kuliner adakan pelatihan memasak sehat","Kuliner","Positif"
"Program urban farming kian diminati warga kota besar","Kehidupan","Positif"
"Aplikasi pelayanan publik berbasis suara diluncurkan","Pemerintahan","Positif"
"Startup bidang robotika logistik raih pendanaan baru","Bisnis","Positif"
"Sekolah perkenalkan robot guru sebagai alat bantu belajar","Robotika","Positif"
"Kampanye masakan lokal nusantara gaet perhatian milenial","Kuliner","Positif"
"Generasi muda mulai kembali ke desa untuk berkebun","Kehidupan","Positif"
"Kabupaten X kembangkan dashboard anggaran berbasis AI","Pemerintahan","Positif"
"Koperasi digital bantu petani akses pasar ekspor","Bisnis","Positif"
"Robot pemilah sampah digunakan di pasar tradisional","Robotika","Positif"
"Kompetisi kreasi makanan sehat diadakan antar RT","Kuliner","Positif"
"Tren gaya hidup minimalis makin populer di kalangan urban","Kehidupan","Positif"
"Aplikasi transparansi bantuan sosial diresmikan","Pemerintahan","Positif"
"Inkubator bisnis desa hasilkan wirausaha muda sukses","Bisnis","Positif"
"Robot pemantau kondisi jalan bantu deteksi lubang otomatis","Robotika","Positif"
"Festival jajanan kaki lima dorong ekonomi informal","Kuliner","Positif"
"Masyarakat mulai beralih ke produk rumah tangga buatan lokal","Kehidupan","Positif"
"Pelatihan digitalisasi administrasi desa digelar nasional","Pemerintahan","Positif"
"Startup kuliner berbasis cloud kitchen ekspansi ke luar negeri","Bisnis","Positif"
"Robot berkebun otomatis bantu proyek kebun sekolah","Robotika","Positif"
"Resep lawas keluarga diangkat jadi menu restoran kekinian","Kuliner","Positif"
"Komunitas lansia aktifkan kembali kegiatan senam pagi bersama","Kehidupan","Positif"
"Sistem pelaporan pajak digital mempermudah wajib pajak UMKM","Pemerintahan","Positif"
"Marketplace lokal dorong pelaku bisnis kuliner rumahan","Bisnis","Positif"
"Robot pelayanan hotel debut di daerah tujuan wisata","Robotika","Positif"
"Acara masak bersama lintas budaya digelar di taman kota","Kuliner","Positif"
"Gerakan lingkungan hidup mulai dari dapur keluarga","Kehidupan","Positif"
"Korupsi pengadaan sistem e-budgeting kembali terungkap","Pemerintahan","Negatif"
"PHK massal di perusahaan rintisan akibat pendanaan macet","Bisnis","Negatif"
"Robot industri alami kerusakan dan hentikan produksi pabrik","Robotika","Negatif"
"Kasus keracunan makanan di festival kuliner tradisional","Kuliner","Negatif"
"Kemacetan parah sebabkan keterlambatan aktivitas warga","Kehidupan","Negatif"
"Kebocoran data warga dari portal layanan publik jadi sorotan","Pemerintahan","Negatif"
"Penutupan gerai UMKM karena daya beli masyarakat menurun","Bisnis","Negatif"
"Kecelakaan kerja akibat malfungsi robot pengangkat barang","Robotika","Negatif"
"Restoran populer ditutup karena pelanggaran higienitas","Kuliner","Negatif"
"Warga keluhkan kualitas air bersih yang makin memburuk","Kehidupan","Negatif"
"Anggaran desa tidak transparan picu ketidakpercayaan publik","Pemerintahan","Negatif"
"Produk startup lokal dipalsukan dan beredar di pasar online","Bisnis","Negatif"
"Robot pengantar makanan rusak dan timbulkan keluhan pelanggan","Robotika","Negatif"
"Makanan cepat saji diduga mengandung zat berbahaya","Kuliner","Negatif"
"Biaya hidup meningkat, warga kesulitan memenuhi kebutuhan dasar","Kehidupan","Negatif"
"Program bansos terlambat disalurkan ke warga terdampak bencana","Pemerintahan","Negatif"
"Perusahaan rintisan digital alami penipuan investor palsu","Bisnis","Negatif"
"Robot pembersih jalan rusak dan sebabkan kecelakaan lalu lintas","Robotika","Negatif"
"Penarikan produk kuliner kemasan karena tidak layak konsumsi","Kuliner","Negatif"
"Krisis hunian layak terjadi di kota dengan urbanisasi tinggi","Kehidupan","Negatif"
"Pejabat desa ditetapkan tersangka dalam kasus penyalahgunaan dana publik","Pemerintahan","Negatif"
"Pasar tradisional sepi karena dominasi platform jual beli besar","Bisnis","Negatif"
"Peretasan sistem kontrol robot menyebabkan gangguan produksi","Robotika","Negatif"
"Toko kue ternama ditutup karena penggunaan bahan kadaluarsa","Kuliner","Negatif"
"Kejadian kekerasan dalam rumah tangga meningkat pasca pandemi","Kehidupan","Negatif"
"Proyek smart city dikritik karena minim manfaat nyata bagi warga","Pemerintahan","Negatif"
"Penipuan bisnis kuliner online marak dan rugikan konsumen","Bisnis","Negatif"
"Robot di rumah sakit salah diagnosis dan sebabkan kerugian","Robotika","Negatif"
"Keterbatasan akses makanan sehat di daerah padat penduduk","Kuliner","Negatif"
"Stres urbanisasi berdampak pada kesehatan mental warga kota","Kehidupan","Negatif"
